No model found.
Episode 206 | Total reward: -1.82 | Epsilon: 0.09909
Episode 207 | Total reward: -1.6900000000000002 | Epsilon: 0.09908
Episode 208 | Total reward: -1.7400000000000004 | Epsilon: 0.09908
Episode 209 | Total reward: -1.7400000000000002 | Epsilon: 0.09907
Episode 210 | Total reward: -1.7500000000000002 | Epsilon: 0.09907
Episode 211 | Total reward: -1.6800000000000002 | Epsilon: 0.09906
Episode 212 | Total reward: -1.86 | Epsilon: 0.09906
Episode 213 | Total reward: -1.7600000000000002 | Epsilon: 0.09905
Episode 214 | Total reward: -1.86 | Epsilon: 0.09905
Episode 215 | Total reward: -1.7500000000000002 | Epsilon: 0.09904
Episode 216 | Total reward: -1.6900000000000002 | Epsilon: 0.09904
Episode 217 | Total reward: -1.8800000000000001 | Epsilon: 0.09903
Episode 218 | Total reward: -1.7100000000000002 | Epsilon: 0.09903
Episode 219 | Total reward: -2.0100000000000002 | Epsilon: 0.09902
Episode 220 | Total reward: -1.8900000000000003 | Epsilon: 0.09902
Episode 221 | Total reward: 2.8700000000000054 | Epsilon: 0.09901
Episode 222 | Total reward: -1.7300000000000004 | Epsilon: 0.09901
Episode 223 | Total reward: -1.82 | Epsilon: 0.09900
Episode 224 | Total reward: -1.7200000000000004 | Epsilon: 0.09899
Episode 225 | Total reward: -1.6900000000000004 | Epsilon: 0.09899
Episode 226 | Total reward: -1.9600000000000002 | Epsilon: 0.09898
Episode 227 | Total reward: -1.8500000000000003 | Epsilon: 0.09898
Episode 228 | Total reward: -1.7500000000000002 | Epsilon: 0.09897
Episode 229 | Total reward: -1.84 | Epsilon: 0.09897
Episode 230 | Total reward: -1.6900000000000004 | Epsilon: 0.09896
Episode 231 | Total reward: -1.7000000000000002 | Epsilon: 0.09896
Episode 232 | Total reward: -1.6800000000000004 | Epsilon: 0.09895
Episode 233 | Total reward: -2.0900000000000003 | Epsilon: 0.09895
Episode 234 | Total reward: -5.45 | Epsilon: 0.09894
Episode 235 | Total reward: -1.7300000000000002 | Epsilon: 0.09894
Episode 236 | Total reward: -5.48 | Epsilon: 0.09893
Episode 237 | Total reward: -1.9200000000000002 | Epsilon: 0.09893
Episode 238 | Total reward: -1.9500000000000002 | Epsilon: 0.09893
Episode 239 | Total reward: -1.8700000000000003 | Epsilon: 0.09892
Episode 240 | Total reward: -1.7500000000000002 | Epsilon: 0.09892
Episode 241 | Total reward: 3.2100000000000004 | Epsilon: 0.09891
Episode 242 | Total reward: -1.6800000000000002 | Epsilon: 0.09890
Episode 243 | Total reward: -2.1200000000000006 | Epsilon: 0.09890
Episode 244 | Total reward: -2.0100000000000002 | Epsilon: 0.09889
Episode 245 | Total reward: -1.8 | Epsilon: 0.09889
Episode 246 | Total reward: -1.82 | Epsilon: 0.09888
Episode 247 | Total reward: -1.7400000000000002 | Epsilon: 0.09888
Saved model at step 11400
Episode 248 | Total reward: 2.920000000000007 | Epsilon: 0.09887
Episode 249 | Total reward: -2.0000000000000004 | Epsilon: 0.09887
Episode 250 | Total reward: -1.82 | Epsilon: 0.09886
Episode 251 | Total reward: -1.9200000000000002 | Epsilon: 0.09886
Episode 252 | Total reward: -2.0500000000000003 | Epsilon: 0.09885
Episode 253 | Total reward: -2.0800000000000005 | Epsilon: 0.09885
Episode 254 | Total reward: -1.8 | Epsilon: 0.09884
