Episode 316 | Total reward: 36.520937499999995 | Epsilon: 0.08693
Episode 317 | Total reward: 41.918109375000014 | Epsilon: 0.08687
Episode 318 | Total reward: 34.99067187499999 | Epsilon: 0.08681
Episode 319 | Total reward: 34.35308984374999 | Epsilon: 0.08675
Episode 320 | Total reward: 34.76315625000001 | Epsilon: 0.08670
Episode 321 | Total reward: 35.10233984374999 | Epsilon: 0.08664
Episode 322 | Total reward: 36.50880468749998 | Epsilon: 0.08658
Episode 323 | Total reward: 44.926386718749995 | Epsilon: 0.08652
Episode 324 | Total reward: 35.13826953125 | Epsilon: 0.08646
Episode 325 | Total reward: 34.28091796874998 | Epsilon: 0.08641
Episode 326 | Total reward: 37.34135937500001 | Epsilon: 0.08635
Episode 327 | Total reward: 39.31150390624999 | Epsilon: 0.08629
Episode 328 | Total reward: 41.0235234375 | Epsilon: 0.08624
Episode 329 | Total reward: 43.06917578125 | Epsilon: 0.08618
Episode 330 | Total reward: 11.847945312499998 | Epsilon: 0.08615
Episode 331 | Total reward: 37.959003906250004 | Epsilon: 0.08609
Episode 332 | Total reward: 33.955164062499996 | Epsilon: 0.08603
Episode 333 | Total reward: 34.0873125 | Epsilon: 0.08598
Episode 334 | Total reward: 42.55651171875 | Epsilon: 0.08592
Episode 335 | Total reward: 38.81739062500001 | Epsilon: 0.08587
Episode 336 | Total reward: 44.72647265624999 | Epsilon: 0.08580
Episode 337 | Total reward: 33.953136718749995 | Epsilon: 0.08575
Episode 338 | Total reward: 38.615738281249996 | Epsilon: 0.08569
Episode 339 | Total reward: 31.718652343750005 | Epsilon: 0.08563
Episode 340 | Total reward: 38.8721796875 | Epsilon: 0.08558
Episode 341 | Total reward: 11.000953124999999 | Epsilon: 0.08554
Episode 342 | Total reward: 40.39642578125 | Epsilon: 0.08549
Episode 343 | Total reward: 40.79886328125 | Epsilon: 0.08543
Episode 344 | Total reward: 31.561464843750002 | Epsilon: 0.08537
Episode 345 | Total reward: 39.48805468749999 | Epsilon: 0.08532
Episode 346 | Total reward: 36.132375 | Epsilon: 0.08526
Episode 347 | Total reward: 21.80055468749999 | Epsilon: 0.08521
Episode 348 | Total reward: 34.10651953124999 | Epsilon: 0.08516
Episode 349 | Total reward: 14.4867109375 | Epsilon: 0.08511
Episode 350 | Total reward: 33.22916015625 | Epsilon: 0.08506
Episode 351 | Total reward: 16.20694140625 | Epsilon: 0.08501
