No model found.
Episode 243 | Total reward: -200.27 | Epsilon: 0.19931
Episode 244 | Total reward: -200.3 | Epsilon: 0.19931
Episode 245 | Total reward: -200.39 | Epsilon: 0.19931
Episode 246 | Total reward: -200.3 | Epsilon: 0.19931
Episode 247 | Total reward: -200.34 | Epsilon: 0.19930
Episode 248 | Total reward: -200.29 | Epsilon: 0.19930
Episode 249 | Total reward: -200.4 | Epsilon: 0.19930
Episode 250 | Total reward: -200.34 | Epsilon: 0.19930
Episode 251 | Total reward: -200.29 | Epsilon: 0.19929
Episode 252 | Total reward: -200.29 | Epsilon: 0.19929
Episode 253 | Total reward: -200.28 | Epsilon: 0.19929
Episode 254 | Total reward: -200.29 | Epsilon: 0.19929
Episode 255 | Total reward: -200.29 | Epsilon: 0.19929
Episode 256 | Total reward: -200.4 | Epsilon: 0.19928
Episode 257 | Total reward: -200.46 | Epsilon: 0.19928
Episode 258 | Total reward: -200.38 | Epsilon: 0.19928
Episode 259 | Total reward: -200.29 | Epsilon: 0.19928
Episode 260 | Total reward: -200.32 | Epsilon: 0.19928
Episode 261 | Total reward: -200.28 | Epsilon: 0.19927
Episode 262 | Total reward: -200.31 | Epsilon: 0.19927
Episode 263 | Total reward: -1.9839062500000002 | Epsilon: 0.19927
Episode 264 | Total reward: -2.1128125000000004 | Epsilon: 0.19927
Episode 265 | Total reward: -200.31 | Epsilon: 0.19926
Episode 266 | Total reward: -2.0307812500000004 | Epsilon: 0.19926
Episode 267 | Total reward: -200.35 | Epsilon: 0.19926
Episode 268 | Total reward: -1.8628125000000002 | Epsilon: 0.19925
Episode 269 | Total reward: -200.36 | Epsilon: 0.19925
Episode 270 | Total reward: -200.39 | Epsilon: 0.19925
Episode 271 | Total reward: -200.33 | Epsilon: 0.19925
Episode 272 | Total reward: -200.33 | Epsilon: 0.19925
Episode 273 | Total reward: -200.3 | Epsilon: 0.19924
Episode 274 | Total reward: -200.32 | Epsilon: 0.19924
Episode 275 | Total reward: -200.36 | Epsilon: 0.19924
Episode 276 | Total reward: -1.9331250000000002 | Epsilon: 0.19924
Episode 277 | Total reward: -200.32 | Epsilon: 0.19923
Episode 278 | Total reward: -200.29 | Epsilon: 0.19923
Episode 279 | Total reward: -200.4 | Epsilon: 0.19923
Episode 280 | Total reward: -200.39 | Epsilon: 0.19923
Episode 281 | Total reward: -1.6914062500000002 | Epsilon: 0.19922
Episode 282 | Total reward: -200.38 | Epsilon: 0.19922
Episode 283 | Total reward: -200.35 | Epsilon: 0.19922
Episode 284 | Total reward: -200.34 | Epsilon: 0.19922
Episode 285 | Total reward: -200.29 | Epsilon: 0.19921
Episode 286 | Total reward: -200.47 | Epsilon: 0.19921
Episode 287 | Total reward: -200.29 | Epsilon: 0.19921
Episode 288 | Total reward: -200.4 | Epsilon: 0.19921
Episode 289 | Total reward: -1.6835937500000002 | Epsilon: 0.19920
Episode 290 | Total reward: -200.3 | Epsilon: 0.19920
Episode 291 | Total reward: -1.9175000000000002 | Epsilon: 0.19920
Episode 292 | Total reward: -200.33 | Epsilon: 0.19920
Episode 293 | Total reward: -1.6775000000000002 | Epsilon: 0.19919
Episode 294 | Total reward: -1.9643750000000002 | Epsilon: 0.19919
Episode 295 | Total reward: -200.28 | Epsilon: 0.19919
Episode 296 | Total reward: -200.3 | Epsilon: 0.19919
Episode 297 | Total reward: -200.31 | Epsilon: 0.19918
Episode 298 | Total reward: -200.31 | Epsilon: 0.19918
Episode 299 | Total reward: -2.0385937500000004 | Epsilon: 0.19918
Episode 300 | Total reward: -200.33 | Epsilon: 0.19918
Episode 301 | Total reward: -200.43 | Epsilon: 0.19917
Episode 302 | Total reward: -1.8667187500000002 | Epsilon: 0.19917
Episode 303 | Total reward: -200.34 | Epsilon: 0.19917
Episode 304 | Total reward: -2.0932812500000004 | Epsilon: 0.19917
Episode 305 | Total reward: -200.32 | Epsilon: 0.19916
Episode 306 | Total reward: -200.31 | Epsilon: 0.19916
Episode 307 | Total reward: -200.37 | Epsilon: 0.19916
Episode 308 | Total reward: -200.32 | Epsilon: 0.19916
Episode 309 | Total reward: -200.33 | Epsilon: 0.19916
Episode 310 | Total reward: -200.37 | Epsilon: 0.19915
Episode 311 | Total reward: -200.3 | Epsilon: 0.19915
Episode 312 | Total reward: -200.36 | Epsilon: 0.19915
Episode 313 | Total reward: -200.29 | Epsilon: 0.19915
Episode 314 | Total reward: -200.44 | Epsilon: 0.19914
Episode 315 | Total reward: -1.9253125000000002 | Epsilon: 0.19914
Episode 316 | Total reward: -2.2026562500000004 | Epsilon: 0.19914
Episode 317 | Total reward: -1.8940625000000002 | Epsilon: 0.19913
Episode 318 | Total reward: -1.6579687500000002 | Epsilon: 0.19913
Episode 319 | Total reward: -2.0268750000000004 | Epsilon: 0.19913
Episode 320 | Total reward: -1.9370312500000002 | Epsilon: 0.19913
Episode 321 | Total reward: -2.0151562500000004 | Epsilon: 0.19912
Episode 322 | Total reward: -200.42 | Epsilon: 0.19912
Episode 323 | Total reward: -2.0268750000000004 | Epsilon: 0.19912
Episode 324 | Total reward: -2.0620312500000004 | Epsilon: 0.19911
Episode 325 | Total reward: -1.9448437500000002 | Epsilon: 0.19911
Episode 326 | Total reward: -2.1792187500000004 | Epsilon: 0.19911
Episode 327 | Total reward: -1.8081250000000002 | Epsilon: 0.19910
Episode 328 | Total reward: -2.1675000000000004 | Epsilon: 0.19910
Episode 329 | Total reward: -1.8081250000000002 | Epsilon: 0.19910
Episode 330 | Total reward: -1.9057812500000002 | Epsilon: 0.19909
Episode 331 | Total reward: -1.7651562500000002 | Epsilon: 0.19909
Episode 332 | Total reward: -200.33 | Epsilon: 0.19909
Episode 333 | Total reward: -1.8823437500000002 | Epsilon: 0.19909
Episode 334 | Total reward: -200.38 | Epsilon: 0.19908
Episode 335 | Total reward: -200.43 | Epsilon: 0.19908
Episode 336 | Total reward: -200.45 | Epsilon: 0.19908
Episode 337 | Total reward: -200.31 | Epsilon: 0.19908
Episode 338 | Total reward: -1.8784375000000002 | Epsilon: 0.19907
Episode 339 | Total reward: -1.7223437500000003 | Epsilon: 0.19907
Episode 340 | Total reward: -200.39 | Epsilon: 0.19907
Episode 341 | Total reward: -1.9917187500000002 | Epsilon: 0.19906
Episode 342 | Total reward: -1.9643750000000002 | Epsilon: 0.19906
Episode 343 | Total reward: -2.0425000000000004 | Epsilon: 0.19906
Episode 344 | Total reward: -200.37 | Epsilon: 0.19906
Episode 345 | Total reward: -1.8979687500000002 | Epsilon: 0.19905
Episode 346 | Total reward: -200.36 | Epsilon: 0.19905
Episode 347 | Total reward: -200.47 | Epsilon: 0.19905
Episode 348 | Total reward: -2.0268750000000004 | Epsilon: 0.19904
Episode 349 | Total reward: -1.7964062500000002 | Epsilon: 0.19904
Episode 350 | Total reward: -200.43 | Epsilon: 0.19904
Episode 351 | Total reward: -200.47 | Epsilon: 0.19903
Episode 352 | Total reward: -2.1675000000000004 | Epsilon: 0.19903
Episode 353 | Total reward: -1.9057812500000002 | Epsilon: 0.19903
Episode 354 | Total reward: -200.3 | Epsilon: 0.19903
Episode 355 | Total reward: -1.8667187500000002 | Epsilon: 0.19902
Episode 356 | Total reward: -1.7964062500000002 | Epsilon: 0.19902
Episode 357 | Total reward: -200.33 | Epsilon: 0.19902
Episode 358 | Total reward: -2.0815625000000004 | Epsilon: 0.19901
Episode 359 | Total reward: -200.34 | Epsilon: 0.19901
Episode 360 | Total reward: -1.9096875000000002 | Epsilon: 0.19901
Episode 361 | Total reward: -200.31 | Epsilon: 0.19901
Episode 362 | Total reward: -1.9214062500000002 | Epsilon: 0.19900
Episode 363 | Total reward: -200.48 | Epsilon: 0.19900
Episode 364 | Total reward: -200.48 | Epsilon: 0.19900
Episode 365 | Total reward: -1.7104687500000002 | Epsilon: 0.19900
Episode 366 | Total reward: -200.31 | Epsilon: 0.19899
Episode 367 | Total reward: -200.37 | Epsilon: 0.19899
Episode 368 | Total reward: -1.8706250000000002 | Epsilon: 0.19899
Episode 369 | Total reward: -200.37 | Epsilon: 0.19899
Episode 370 | Total reward: -2.0464062500000004 | Epsilon: 0.19898
Episode 371 | Total reward: -2.0034375000000004 | Epsilon: 0.19898
Episode 372 | Total reward: -1.8667187500000002 | Epsilon: 0.19898
Episode 373 | Total reward: -2.1596875000000004 | Epsilon: 0.19897
Episode 374 | Total reward: -1.9057812500000002 | Epsilon: 0.19897
Episode 375 | Total reward: -2.1010937500000004 | Epsilon: 0.19897
Episode 376 | Total reward: -1.7885937500000002 | Epsilon: 0.19896
Episode 377 | Total reward: -1.9878125000000002 | Epsilon: 0.19896
Episode 378 | Total reward: -200.33 | Epsilon: 0.19896
Episode 379 | Total reward: -200.44 | Epsilon: 0.19896
Episode 380 | Total reward: -2.0112500000000004 | Epsilon: 0.19895
Episode 381 | Total reward: -200.47 | Epsilon: 0.19895
Episode 382 | Total reward: -1.8550000000000002 | Epsilon: 0.19895
Episode 383 | Total reward: -2.0034375000000004 | Epsilon: 0.19894
Episode 384 | Total reward: -2.0112500000000004 | Epsilon: 0.19894
Episode 385 | Total reward: -2.0776562500000004 | Epsilon: 0.19894
Episode 386 | Total reward: -2.0151562500000004 | Epsilon: 0.19893
Episode 387 | Total reward: -2.0503125000000004 | Epsilon: 0.19893
Episode 388 | Total reward: -200.46 | Epsilon: 0.19893
Episode 389 | Total reward: -2.1284375000000004 | Epsilon: 0.19892
Episode 390 | Total reward: -1.9839062500000002 | Epsilon: 0.19892
Episode 391 | Total reward: -1.9604687500000002 | Epsilon: 0.19892
Episode 392 | Total reward: -2.0229687500000004 | Epsilon: 0.19892
Episode 393 | Total reward: -200.4 | Epsilon: 0.19891
Episode 394 | Total reward: -2.0229687500000004 | Epsilon: 0.19891
Episode 395 | Total reward: -1.7009375000000002 | Epsilon: 0.19891
Episode 396 | Total reward: -2.0503125000000004 | Epsilon: 0.19890
Episode 397 | Total reward: -1.9057812500000002 | Epsilon: 0.19890
Episode 398 | Total reward: -1.7182812500000002 | Epsilon: 0.19890
Episode 399 | Total reward: -1.6914062500000002 | Epsilon: 0.19889
Episode 400 | Total reward: -2.0971875000000004 | Epsilon: 0.19889
Episode 401 | Total reward: -1.7165625000000002 | Epsilon: 0.19889
Episode 402 | Total reward: -2.0346875000000004 | Epsilon: 0.19888
Episode 403 | Total reward: -1.7885937500000002 | Epsilon: 0.19888
Episode 404 | Total reward: -2.0659375000000004 | Epsilon: 0.19888
Episode 405 | Total reward: -1.8784375000000002 | Epsilon: 0.19888
Episode 406 | Total reward: -1.7018750000000002 | Epsilon: 0.19887
Episode 407 | Total reward: -200.41 | Epsilon: 0.19887
Episode 408 | Total reward: -200.41 | Epsilon: 0.19887
Episode 409 | Total reward: -200.35 | Epsilon: 0.19886
Episode 410 | Total reward: -200.33 | Epsilon: 0.19886
Episode 411 | Total reward: -1.6853125000000002 | Epsilon: 0.19886
Episode 412 | Total reward: -1.9175000000000002 | Epsilon: 0.19886
Episode 413 | Total reward: -1.9331250000000002 | Epsilon: 0.19885
Episode 414 | Total reward: -1.6657812500000002 | Epsilon: 0.19885
Episode 415 | Total reward: -200.34 | Epsilon: 0.19885
Episode 416 | Total reward: -2.1089062500000004 | Epsilon: 0.19884
Episode 417 | Total reward: -200.45 | Epsilon: 0.19884
Episode 418 | Total reward: -2.0698437500000004 | Epsilon: 0.19884
Episode 419 | Total reward: -200.44 | Epsilon: 0.19884
Episode 420 | Total reward: -2.1167187500000004 | Epsilon: 0.19883
Episode 421 | Total reward: -1.8823437500000002 | Epsilon: 0.19883
Episode 422 | Total reward: -200.38 | Epsilon: 0.19883
Episode 423 | Total reward: -1.9487500000000002 | Epsilon: 0.19882
Episode 424 | Total reward: -200.35 | Epsilon: 0.19882
Episode 425 | Total reward: -200.33 | Epsilon: 0.19882
Episode 426 | Total reward: -200.48 | Epsilon: 0.19882
Episode 427 | Total reward: -1.7065625000000002 | Epsilon: 0.19881
Episode 428 | Total reward: -200.35 | Epsilon: 0.19881
