No model found.
Episode 190 | Total reward: -1.6600000000000004 | Epsilon: 0.09318
Episode 191 | Total reward: -5.3 | Epsilon: 0.09315
Episode 192 | Total reward: -5.3 | Epsilon: 0.09312
Episode 193 | Total reward: -2.18 | Epsilon: 0.09308
Episode 194 | Total reward: -5.34 | Epsilon: 0.09304
Episode 195 | Total reward: -5.38 | Epsilon: 0.09301
Episode 196 | Total reward: -1.8700000000000003 | Epsilon: 0.09296
Episode 197 | Total reward: -1.7200000000000002 | Epsilon: 0.09291
Episode 198 | Total reward: -5.17 | Epsilon: 0.09290
Episode 199 | Total reward: -1.8500000000000003 | Epsilon: 0.09285
Episode 200 | Total reward: -5.44 | Epsilon: 0.09281
Episode 201 | Total reward: -1.7800000000000002 | Epsilon: 0.09276
Episode 202 | Total reward: -5.34 | Epsilon: 0.09273
Episode 203 | Total reward: -5.17 | Epsilon: 0.09271
Episode 204 | Total reward: -5.17 | Epsilon: 0.09270
Episode 205 | Total reward: -2.06 | Epsilon: 0.09266
Episode 206 | Total reward: -5.34 | Epsilon: 0.09263
Episode 207 | Total reward: -5.36 | Epsilon: 0.09260
Episode 208 | Total reward: -5.3100000000000005 | Epsilon: 0.09257
Episode 209 | Total reward: -5.4 | Epsilon: 0.09253
Episode 210 | Total reward: -5.3100000000000005 | Epsilon: 0.09250
Episode 211 | Total reward: -5.3 | Epsilon: 0.09247
Episode 212 | Total reward: -5.3 | Epsilon: 0.09244
Episode 213 | Total reward: -1.84 | Epsilon: 0.09240
Episode 214 | Total reward: -5.17 | Epsilon: 0.09238
Episode 215 | Total reward: -5.17 | Epsilon: 0.09236
Episode 216 | Total reward: -5.17 | Epsilon: 0.09235
Episode 217 | Total reward: -1.6800000000000002 | Epsilon: 0.09230
Episode 218 | Total reward: -5.17 | Epsilon: 0.09229
Episode 219 | Total reward: -5.17 | Epsilon: 0.09227
Episode 220 | Total reward: -5.17 | Epsilon: 0.09225
Episode 221 | Total reward: -5.17 | Epsilon: 0.09224
Episode 222 | Total reward: -2.14 | Epsilon: 0.09219
Episode 223 | Total reward: -1.6800000000000004 | Epsilon: 0.09214
Episode 224 | Total reward: -5.17 | Epsilon: 0.09213
Episode 225 | Total reward: -1.7300000000000002 | Epsilon: 0.09208
Episode 226 | Total reward: -5.41 | Epsilon: 0.09204
Episode 227 | Total reward: -5.17 | Epsilon: 0.09202
Episode 228 | Total reward: -5.17 | Epsilon: 0.09201
Episode 229 | Total reward: -1.6900000000000004 | Epsilon: 0.09196
Episode 230 | Total reward: -5.3 | Epsilon: 0.09193
Episode 231 | Total reward: -5.41 | Epsilon: 0.09189
Episode 232 | Total reward: -5.3 | Epsilon: 0.09186
Episode 233 | Total reward: -1.9600000000000002 | Epsilon: 0.09182
Episode 234 | Total reward: -5.33 | Epsilon: 0.09179
Episode 235 | Total reward: -1.7500000000000002 | Epsilon: 0.09174
Episode 236 | Total reward: -5.17 | Epsilon: 0.09173
Episode 237 | Total reward: -1.9300000000000002 | Epsilon: 0.09168
Episode 238 | Total reward: -1.8900000000000003 | Epsilon: 0.09164
Episode 239 | Total reward: -1.9500000000000002 | Epsilon: 0.09159
Episode 240 | Total reward: -5.34 | Epsilon: 0.09156
Episode 241 | Total reward: -5.470000000000001 | Epsilon: 0.09151
Episode 242 | Total reward: -5.17 | Epsilon: 0.09150
Episode 243 | Total reward: -5.17 | Epsilon: 0.09148
Episode 244 | Total reward: -1.82 | Epsilon: 0.09144
Episode 245 | Total reward: -5.17 | Epsilon: 0.09142
Episode 246 | Total reward: -2.08 | Epsilon: 0.09139
Episode 247 | Total reward: -1.6600000000000001 | Epsilon: 0.09134
Episode 248 | Total reward: -1.6800000000000004 | Epsilon: 0.09129
Episode 249 | Total reward: -5.42 | Epsilon: 0.09125
Episode 250 | Total reward: -5.3 | Epsilon: 0.09122
Episode 251 | Total reward: -5.34 | Epsilon: 0.09119
Episode 252 | Total reward: -5.17 | Epsilon: 0.09118
Episode 253 | Total reward: -5.34 | Epsilon: 0.09114
Episode 254 | Total reward: -5.3 | Epsilon: 0.09112
Episode 255 | Total reward: -1.6800000000000002 | Epsilon: 0.09107
Episode 256 | Total reward: -5.3 | Epsilon: 0.09104
Episode 257 | Total reward: -1.7500000000000004 | Epsilon: 0.09099
Episode 258 | Total reward: -5.17 | Epsilon: 0.09097
Episode 259 | Total reward: -5.17 | Epsilon: 0.09096
Episode 260 | Total reward: -5.3100000000000005 | Epsilon: 0.09093
Episode 261 | Total reward: -1.6700000000000004 | Epsilon: 0.09088
Episode 262 | Total reward: -1.7400000000000002 | Epsilon: 0.09083
Episode 263 | Total reward: -5.3500000000000005 | Epsilon: 0.09079
Episode 264 | Total reward: -5.17 | Epsilon: 0.09078
Episode 265 | Total reward: -5.46 | Epsilon: 0.09073
Episode 266 | Total reward: -1.7100000000000002 | Epsilon: 0.09069
Episode 267 | Total reward: -5.17 | Epsilon: 0.09067
Episode 268 | Total reward: -5.17 | Epsilon: 0.09065
Episode 269 | Total reward: -5.17 | Epsilon: 0.09064
Saved model at step 9900
Episode 270 | Total reward: 2.890000000000005 | Epsilon: 0.09056
Episode 271 | Total reward: -5.3 | Epsilon: 0.09053
Episode 272 | Total reward: -5.33 | Epsilon: 0.09050
Episode 273 | Total reward: -5.48 | Epsilon: 0.09046
Episode 274 | Total reward: -5.3 | Epsilon: 0.09043
Episode 275 | Total reward: -1.9600000000000002 | Epsilon: 0.09039
Episode 276 | Total reward: -1.7100000000000002 | Epsilon: 0.09034
Episode 277 | Total reward: -5.17 | Epsilon: 0.09032
Episode 278 | Total reward: -1.6600000000000001 | Epsilon: 0.09028
Episode 279 | Total reward: -1.9700000000000002 | Epsilon: 0.09023
Episode 280 | Total reward: -5.34 | Epsilon: 0.09020
Episode 281 | Total reward: -2.3400000000000003 | Epsilon: 0.09016
Episode 282 | Total reward: -5.17 | Epsilon: 0.09014
Episode 283 | Total reward: -5.48 | Epsilon: 0.09010
Episode 284 | Total reward: -2.18 | Epsilon: 0.09005
Episode 285 | Total reward: -5.3100000000000005 | Epsilon: 0.09002
Episode 286 | Total reward: -5.3100000000000005 | Epsilon: 0.09000
Episode 287 | Total reward: -5.17 | Epsilon: 0.08998
Episode 288 | Total reward: -5.45 | Epsilon: 0.08994
Episode 289 | Total reward: -5.3 | Epsilon: 0.08991
Episode 290 | Total reward: -5.3 | Epsilon: 0.08988
Episode 291 | Total reward: -5.3 | Epsilon: 0.08985
Episode 292 | Total reward: -5.3100000000000005 | Epsilon: 0.08983
Episode 293 | Total reward: -1.9600000000000002 | Epsilon: 0.08978
Episode 294 | Total reward: -5.17 | Epsilon: 0.08977
Episode 295 | Total reward: -1.6700000000000002 | Epsilon: 0.08972
Episode 296 | Total reward: -5.470000000000001 | Epsilon: 0.08968
Episode 297 | Total reward: -5.3 | Epsilon: 0.08965
Episode 298 | Total reward: -1.6700000000000002 | Epsilon: 0.08960
Episode 299 | Total reward: -5.390000000000001 | Epsilon: 0.08957
Episode 300 | Total reward: -5.17 | Epsilon: 0.08955
Episode 301 | Total reward: -5.48 | Epsilon: 0.08951
Episode 302 | Total reward: -5.3100000000000005 | Epsilon: 0.08948
Episode 303 | Total reward: -1.7400000000000002 | Epsilon: 0.08944
Episode 304 | Total reward: -5.17 | Epsilon: 0.08942
Episode 305 | Total reward: -1.7400000000000002 | Epsilon: 0.08938
Episode 306 | Total reward: -5.44 | Epsilon: 0.08934
Episode 307 | Total reward: -5.36 | Epsilon: 0.08930
Episode 308 | Total reward: -5.33 | Epsilon: 0.08927
Episode 309 | Total reward: -5.32 | Epsilon: 0.08924
Episode 310 | Total reward: -1.7100000000000002 | Epsilon: 0.08920
Episode 311 | Total reward: -5.3100000000000005 | Epsilon: 0.08917
Episode 312 | Total reward: -2.0500000000000003 | Epsilon: 0.08913
Episode 313 | Total reward: -5.17 | Epsilon: 0.08911
Episode 314 | Total reward: -1.9600000000000002 | Epsilon: 0.08907
Episode 315 | Total reward: -5.36 | Epsilon: 0.08903
Episode 316 | Total reward: -5.33 | Epsilon: 0.08900
Episode 317 | Total reward: -5.3500000000000005 | Epsilon: 0.08897
Episode 318 | Total reward: -1.8100000000000003 | Epsilon: 0.08893
Episode 319 | Total reward: -1.8900000000000003 | Epsilon: 0.08888
Episode 320 | Total reward: -5.46 | Epsilon: 0.08884
Episode 321 | Total reward: -1.6900000000000002 | Epsilon: 0.08880
Episode 322 | Total reward: -1.9000000000000001 | Epsilon: 0.08876
Episode 323 | Total reward: -2.0300000000000002 | Epsilon: 0.08871
Episode 324 | Total reward: -5.42 | Epsilon: 0.08867
Episode 325 | Total reward: -5.45 | Epsilon: 0.08863
Episode 326 | Total reward: -5.42 | Epsilon: 0.08860
Episode 327 | Total reward: -1.8800000000000001 | Epsilon: 0.08855
Episode 328 | Total reward: -1.7000000000000002 | Epsilon: 0.08850
Episode 329 | Total reward: -1.8 | Epsilon: 0.08846
Episode 330 | Total reward: -1.8 | Epsilon: 0.08842
Episode 331 | Total reward: -1.8700000000000003 | Epsilon: 0.08837
Episode 332 | Total reward: -2.0500000000000003 | Epsilon: 0.08833
Episode 333 | Total reward: -1.7300000000000002 | Epsilon: 0.08828
Episode 334 | Total reward: -1.9300000000000002 | Epsilon: 0.08824
Episode 335 | Total reward: -2.0800000000000005 | Epsilon: 0.08819
Episode 336 | Total reward: -1.7000000000000002 | Epsilon: 0.08815
Episode 337 | Total reward: -1.7100000000000002 | Epsilon: 0.08810
Episode 338 | Total reward: -5.430000000000001 | Epsilon: 0.08806
Episode 339 | Total reward: -1.9400000000000002 | Epsilon: 0.08802
Episode 340 | Total reward: -2.16 | Epsilon: 0.08798
Episode 341 | Total reward: -1.7000000000000002 | Epsilon: 0.08793
Episode 342 | Total reward: -5.41 | Epsilon: 0.08790
Episode 343 | Total reward: -2.0600000000000005 | Epsilon: 0.08785
Episode 344 | Total reward: -1.7600000000000002 | Epsilon: 0.08781
Episode 345 | Total reward: -2.1000000000000005 | Epsilon: 0.08777
Episode 346 | Total reward: -1.7200000000000004 | Epsilon: 0.08772
Episode 347 | Total reward: -1.7800000000000002 | Epsilon: 0.08768
Episode 348 | Total reward: -1.6600000000000004 | Epsilon: 0.08763
Episode 349 | Total reward: -1.9400000000000002 | Epsilon: 0.08759
Episode 350 | Total reward: -1.6900000000000002 | Epsilon: 0.08755
Episode 351 | Total reward: 3.2200000000000006 | Epsilon: 0.08749
Episode 352 | Total reward: -2.0700000000000003 | Epsilon: 0.08745
Episode 353 | Total reward: -1.82 | Epsilon: 0.08740
Episode 354 | Total reward: -1.9500000000000002 | Epsilon: 0.08736
Episode 355 | Total reward: -1.7200000000000002 | Epsilon: 0.08731
Episode 356 | Total reward: -1.6700000000000004 | Epsilon: 0.08727
Episode 357 | Total reward: 3.1900000000000013 | Epsilon: 0.08721
Episode 358 | Total reward: -2.18 | Epsilon: 0.08717
Episode 359 | Total reward: 3.200000000000001 | Epsilon: 0.08711
Episode 360 | Total reward: -1.9100000000000004 | Epsilon: 0.08707
Episode 361 | Total reward: -1.6900000000000002 | Epsilon: 0.08703
Episode 362 | Total reward: -1.7000000000000002 | Epsilon: 0.08698
Episode 363 | Total reward: -1.9300000000000002 | Epsilon: 0.08694
Episode 364 | Total reward: -1.7700000000000002 | Epsilon: 0.08690
Episode 365 | Total reward: -1.6800000000000002 | Epsilon: 0.08685
Episode 366 | Total reward: -2.0300000000000002 | Epsilon: 0.08681
Episode 367 | Total reward: -1.7700000000000002 | Epsilon: 0.08677
Episode 368 | Total reward: 3.2600000000000002 | Epsilon: 0.08671
Traceback (most recent call last):
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 255, in <module>
    train()
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 175, in train
    x_t1 = preprocess(x_t1_colored).reshape(1, 1, 80, 80)
           ^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\milan\Documents\Uni\Alg\DL\DL_8sem_hw-1\hw6\agent.py", line 143, in preprocess
    frame = transform.resize(frame, (80, 80))
            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\milan\AppData\Local\Programs\Python\Python312\Lib\site-packages\skimage\transform\_warps.py", line 207, in resize
    _clip_warp_output(image, out, mode, cval, clip)
  File "C:\Users\milan\AppData\Local\Programs\Python\Python312\Lib\site-packages\skimage\transform\_warps.py", line 733, in _clip_warp_output
    min_val = np.min(input_image)
              ^^^^^^^^^^^^^^^^^^^
  File "C:\Users\milan\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py", line 2953, in min
    return _wrapreduction(a, np.minimum, 'min', axis, None, out,
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\milan\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\core\fromnumeric.py", line 88, in _wrapreduction
    return ufunc.reduce(obj, axis, dtype, out, **passkwargs)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
KeyboardInterrupt
