No model found.
Episode 247 | Total reward: 42 | Epsilon: 0.09663
Episode 248 | Total reward: 49 | Epsilon: 0.09661
Episode 249 | Total reward: 37 | Epsilon: 0.09659
Episode 250 | Total reward: 38 | Epsilon: 0.09658
Episode 251 | Total reward: 38 | Epsilon: 0.09656
Episode 252 | Total reward: 38 | Epsilon: 0.09655
Episode 253 | Total reward: 31 | Epsilon: 0.09653
Episode 254 | Total reward: 38 | Epsilon: 0.09652
Episode 255 | Total reward: 38 | Epsilon: 0.09650
Episode 256 | Total reward: 38 | Epsilon: 0.09648
Episode 257 | Total reward: 38 | Epsilon: 0.09647
Episode 258 | Total reward: 38 | Epsilon: 0.09645
Episode 259 | Total reward: 35 | Epsilon: 0.09644
Episode 260 | Total reward: 38 | Epsilon: 0.09642
Episode 261 | Total reward: 38 | Epsilon: 0.09641
Episode 262 | Total reward: 38 | Epsilon: 0.09639
Episode 263 | Total reward: 38 | Epsilon: 0.09638
Episode 264 | Total reward: 38 | Epsilon: 0.09636
Episode 265 | Total reward: 53 | Epsilon: 0.09634
Episode 266 | Total reward: 38 | Epsilon: 0.09632
Episode 267 | Total reward: 38 | Epsilon: 0.09631
Episode 268 | Total reward: 43 | Epsilon: 0.09629
Episode 269 | Total reward: 25 | Epsilon: 0.09628
Episode 270 | Total reward: 38 | Epsilon: 0.09626
Episode 271 | Total reward: 42 | Epsilon: 0.09625
Episode 272 | Total reward: 38 | Epsilon: 0.09623
Episode 273 | Total reward: 39 | Epsilon: 0.09621
Episode 274 | Total reward: 24 | Epsilon: 0.09620
Episode 275 | Total reward: 38 | Epsilon: 0.09619
Episode 276 | Total reward: 38 | Epsilon: 0.09617
Episode 277 | Total reward: 43 | Epsilon: 0.09615
Episode 278 | Total reward: 44 | Epsilon: 0.09614
Episode 279 | Total reward: 47 | Epsilon: 0.09612
Episode 280 | Total reward: 38 | Epsilon: 0.09610
Episode 281 | Total reward: 33 | Epsilon: 0.09609
Episode 282 | Total reward: 38 | Epsilon: 0.09607
Episode 283 | Total reward: 38 | Epsilon: 0.09606
Episode 284 | Total reward: 40 | Epsilon: 0.09604
Episode 285 | Total reward: 31 | Epsilon: 0.09603
Episode 286 | Total reward: 43 | Epsilon: 0.09601
Episode 287 | Total reward: 38 | Epsilon: 0.09599
Episode 288 | Total reward: 38 | Epsilon: 0.09598
Episode 289 | Total reward: 38 | Epsilon: 0.09596
Episode 290 | Total reward: 38 | Epsilon: 0.09595
Episode 291 | Total reward: 38 | Epsilon: 0.09593
Episode 292 | Total reward: 38 | Epsilon: 0.09592
Episode 293 | Total reward: 38 | Epsilon: 0.09590
Episode 294 | Total reward: 44 | Epsilon: 0.09588
Episode 295 | Total reward: 33 | Epsilon: 0.09587
Episode 296 | Total reward: 38 | Epsilon: 0.09585
Episode 297 | Total reward: 38 | Epsilon: 0.09584
Episode 298 | Total reward: 27 | Epsilon: 0.09583
Episode 299 | Total reward: 38 | Epsilon: 0.09581
Episode 300 | Total reward: 38 | Epsilon: 0.09579
Episode 301 | Total reward: 38 | Epsilon: 0.09578
Episode 302 | Total reward: 38 | Epsilon: 0.09576
Episode 303 | Total reward: 38 | Epsilon: 0.09575
Episode 304 | Total reward: 38 | Epsilon: 0.09573
Episode 305 | Total reward: 38 | Epsilon: 0.09572
Episode 306 | Total reward: 48 | Epsilon: 0.09570
Episode 307 | Total reward: 41 | Epsilon: 0.09568
Episode 308 | Total reward: 38 | Epsilon: 0.09567
Episode 309 | Total reward: 38 | Epsilon: 0.09565
Episode 310 | Total reward: 45 | Epsilon: 0.09563
Episode 311 | Total reward: 44 | Epsilon: 0.09561
Episode 312 | Total reward: 45 | Epsilon: 0.09560
Episode 313 | Total reward: 38 | Epsilon: 0.09558
Episode 314 | Total reward: 39 | Epsilon: 0.09556
Episode 315 | Total reward: 47 | Epsilon: 0.09555
Episode 316 | Total reward: 39 | Epsilon: 0.09553
Episode 317 | Total reward: 38 | Epsilon: 0.09552
Episode 318 | Total reward: 38 | Epsilon: 0.09550
Episode 319 | Total reward: 24 | Epsilon: 0.09549
Episode 320 | Total reward: 38 | Epsilon: 0.09547
Episode 321 | Total reward: 36 | Epsilon: 0.09546
Episode 322 | Total reward: 43 | Epsilon: 0.09544
Episode 323 | Total reward: 46 | Epsilon: 0.09542
Episode 324 | Total reward: 38 | Epsilon: 0.09541
Episode 325 | Total reward: 38 | Epsilon: 0.09539
Episode 326 | Total reward: 38 | Epsilon: 0.09538
Episode 327 | Total reward: 38 | Epsilon: 0.09536
Episode 328 | Total reward: 38 | Epsilon: 0.09534
Episode 329 | Total reward: 28 | Epsilon: 0.09533
Episode 330 | Total reward: 54 | Epsilon: 0.09531
Episode 331 | Total reward: 38 | Epsilon: 0.09530
Episode 332 | Total reward: 41 | Epsilon: 0.09528
Episode 333 | Total reward: 38 | Epsilon: 0.09526
Episode 334 | Total reward: 38 | Epsilon: 0.09525
Episode 335 | Total reward: 38 | Epsilon: 0.09523
Episode 336 | Total reward: 38 | Epsilon: 0.09522
Episode 337 | Total reward: 47 | Epsilon: 0.09520
Episode 338 | Total reward: 57 | Epsilon: 0.09518
Saved model at step 14900
Episode 339 | Total reward: 47 | Epsilon: 0.09516
Episode 340 | Total reward: 38 | Epsilon: 0.09514
Episode 341 | Total reward: 47 | Epsilon: 0.09513
Episode 342 | Total reward: 38 | Epsilon: 0.09511
Episode 343 | Total reward: 38 | Epsilon: 0.09509
Episode 344 | Total reward: 34 | Epsilon: 0.09508
Episode 345 | Total reward: 38 | Epsilon: 0.09506
Episode 346 | Total reward: 38 | Epsilon: 0.09505
Episode 347 | Total reward: 38 | Epsilon: 0.09503
Episode 348 | Total reward: 37 | Epsilon: 0.09502
Episode 349 | Total reward: 50 | Epsilon: 0.09500
Episode 350 | Total reward: 38 | Epsilon: 0.09498
Episode 351 | Total reward: 54 | Epsilon: 0.09496
Episode 352 | Total reward: 37 | Epsilon: 0.09495
Episode 353 | Total reward: 38 | Epsilon: 0.09493
Episode 354 | Total reward: 38 | Epsilon: 0.09492
Episode 355 | Total reward: 40 | Epsilon: 0.09490
Episode 356 | Total reward: 38 | Epsilon: 0.09489
Episode 357 | Total reward: 38 | Epsilon: 0.09487
Episode 358 | Total reward: 53 | Epsilon: 0.09485
Episode 359 | Total reward: 54 | Epsilon: 0.09483
Episode 360 | Total reward: 38 | Epsilon: 0.09481
Episode 361 | Total reward: 42 | Epsilon: 0.09480
Episode 362 | Total reward: 38 | Epsilon: 0.09478
Episode 363 | Total reward: 49 | Epsilon: 0.09476
Episode 364 | Total reward: 38 | Epsilon: 0.09475
Episode 365 | Total reward: 45 | Epsilon: 0.09473
Episode 366 | Total reward: 38 | Epsilon: 0.09471
Episode 367 | Total reward: 42 | Epsilon: 0.09470
Episode 368 | Total reward: 38 | Epsilon: 0.09468
Episode 369 | Total reward: 42 | Epsilon: 0.09466
Episode 370 | Total reward: 42 | Epsilon: 0.09465
Episode 371 | Total reward: 45 | Epsilon: 0.09463
Episode 372 | Total reward: 38 | Epsilon: 0.09462
Episode 373 | Total reward: 44 | Epsilon: 0.09460
Episode 374 | Total reward: 37 | Epsilon: 0.09458
Episode 375 | Total reward: 38 | Epsilon: 0.09457
Episode 376 | Total reward: 46 | Epsilon: 0.09455
Episode 377 | Total reward: 38 | Epsilon: 0.09453
Episode 378 | Total reward: 38 | Epsilon: 0.09452
Episode 379 | Total reward: 38 | Epsilon: 0.09450
Episode 380 | Total reward: 38 | Epsilon: 0.09449
Episode 381 | Total reward: 39 | Epsilon: 0.09447
Episode 382 | Total reward: 27 | Epsilon: 0.09446
Episode 383 | Total reward: 39 | Epsilon: 0.09444
Episode 384 | Total reward: 38 | Epsilon: 0.09443
Episode 385 | Total reward: 38 | Epsilon: 0.09441
Episode 386 | Total reward: 38 | Epsilon: 0.09440
Episode 387 | Total reward: 47 | Epsilon: 0.09438
Episode 388 | Total reward: 54 | Epsilon: 0.09436
Episode 389 | Total reward: 48 | Epsilon: 0.09434
Episode 390 | Total reward: 39 | Epsilon: 0.09433
Episode 391 | Total reward: 46 | Epsilon: 0.09431
Episode 392 | Total reward: 40 | Epsilon: 0.09429
Episode 393 | Total reward: 38 | Epsilon: 0.09428
Episode 394 | Total reward: 38 | Epsilon: 0.09426
Episode 395 | Total reward: 38 | Epsilon: 0.09425
Episode 396 | Total reward: 45 | Epsilon: 0.09423
Episode 397 | Total reward: 39 | Epsilon: 0.09421
Episode 398 | Total reward: 28 | Epsilon: 0.09420
Episode 399 | Total reward: 54 | Epsilon: 0.09418
Episode 400 | Total reward: 48 | Epsilon: 0.09416
Episode 401 | Total reward: 38 | Epsilon: 0.09415
Episode 402 | Total reward: 47 | Epsilon: 0.09413
Episode 403 | Total reward: 38 | Epsilon: 0.09411
Episode 404 | Total reward: 38 | Epsilon: 0.09410
Episode 405 | Total reward: 38 | Epsilon: 0.09408
Episode 406 | Total reward: 49 | Epsilon: 0.09406
Episode 407 | Total reward: 39 | Epsilon: 0.09405
Episode 408 | Total reward: 47 | Epsilon: 0.09403
Episode 409 | Total reward: 47 | Epsilon: 0.09401
Episode 410 | Total reward: 39 | Epsilon: 0.09399
Episode 411 | Total reward: 38 | Epsilon: 0.09398
Episode 412 | Total reward: 38 | Epsilon: 0.09396
Episode 413 | Total reward: 46 | Epsilon: 0.09395
